Animal Id,Animal Type,Source Id,Council District,Intake Type,Intake Total,Staff Id,Intake Date,Intake Condition,Outcome Type,Outcome Date,Outcome Condition,Chip Status,Animal Origin,Month,Year
A1092882,CAT,P0914702,,STRAY,1,WEB,01/06/2021,NORMAL,LOST EXP,02/08/2020,,,,JAN.2021,FY2021
A1104327,DOG,P0933821,6,TREATMENT,1,SRJ,10/03/2020,APP WNL,TREATMENT,10/04/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1096777,DOG,P0919884,,STRAY,1,WEB,12/23/2020,NORMAL,LOST EXP,03/26/2020,,,,DEC.2020,FY2021
A1106291,DOG,P0935679,,STRAY,1,WEB,11/18/2020,NORMAL,LOST EXP,09/24/2020,,,,NOV.2020,FY2021
A1108449,DOG,P0939059,,OWNER SURRENDER,1,JLC,10/05/2020,APP WNL,ADOPTION,10/07/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108479,CAT,P0005166,5,STRAY,1,BTB1210,10/05/2020,APP INJ,EUTHANIZED,10/06/2020,APP INJ,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1098662,DOG,P0942513,6,STRAY,1,KCB8445,11/19/2020,APP WNL,EUTHANIZED,11/26/2020,APP WNL,SCAN CHIP,FIELD,NOV.2020,FY2021
A1106707,DOG,P0936672,,OWNER SURRENDER,1,IFM,10/01/2020,APP WNL,ADOPTION,10/04/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1105238,CAT,P0934016,,TREATMENT,1,CDM,10/01/2020,APP WNL,TREATMENT,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1109990,CAT,P0649232,,FOSTER,1,CDM,11/20/2020,UNKNOWN,FOSTER,11/20/2020,UNKNOWN,UNABLE TO SCAN,OVER THE COUNTER,NOV.2020,FY2021
A1105328,CAT,P0881793,,FOSTER,1,CDM,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108446,DOG,P0939137,,OWNER SURRENDER,1,TLM,10/09/2020,APP WNL,TRANSFER,10/11/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108766,CAT,P0888223,2,STRAY,1,KCB8445,10/10/2020,CRITICAL,EUTHANIZED,10/11/2020,CRITICAL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1105239,CAT,P0934016,,TREATMENT,1,CDM,10/01/2020,APP WNL,TREATMENT,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1105707,DOG,P0934764,6,TREATMENT,1,NGD,10/01/2020,APP WNL,TREATMENT,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1109611,DOG,P0940844,8,CONFISCATED,1,ROB1772,10/28/2020,APP WNL,RETURNED TO OWNER,11/06/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1064837,DOG,P0589540,6,TREATMENT,1,OET,03/08/2021,APP WNL,TREATMENT,03/09/2021,APP WNL,SCAN CHIP,OVER THE COUNTER,MAR.2021,FY2021
A1108232,DOG,P9998452,14,STRAY,1,SME8452,10/01/2020,APP WNL,RETURNED TO OWNER,10/01/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1106990,CAT,P0924843,,FOSTER,1,CDM,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1107713,CAT,P0507756,,FOSTER,1,VMJ,10/04/2020,DECEASED,DIED,10/04/2020,DECEASED,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108270,WILDLIFE,P9991710,4,WILDLIFE,1,CVB1710,10/01/2020,APP INJ,EUTHANIZED,10/01/2020,APP INJ,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1109591,CAT,P0940735,6,STRAY,1,SCB1704,10/27/2020,APP SICK,TRANSFER,10/29/2020,UNDERAGE,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108388,CAT,P9998452,9,STRAY,1,SME8452,10/03/2020,APP SICK,TRANSFER,10/04/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108253,CAT,P0630889,1,STRAY,1,TLM,10/01/2020,UNDERAGE,EUTHANIZED,10/01/2020,APP SICK,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1107010,CAT,P0936954,,OWNER SURRENDER,1,DJH,10/09/2020,APP WNL,TRANSFER,10/10/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1109010,WILDLIFE,P0897981,10,WILDLIFE,1,TDC1739,10/15/2020,APP WNL,WILDLIFE,10/15/2020,APP WNL,WILDLIFE - UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1108258,DOG,P9998452,5,STRAY,1,SME8452,10/01/2020,APP WNL,RETURNED TO OWNER,10/01/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1110395,CAT,P0942039,,OWNER SURRENDER,1,IFM,11/12/2020,APP WNL,ADOPTION,11/20/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1107049,DOG,P0939534,8,STRAY,1,AMB8451,10/10/2020,APP WNL,ADOPTION,10/17/2020,APP WNL,SCAN CHIP,FIELD,OCT.2020,FY2021
A1108231,DOG,P0938704,1,STRAY,1,TJP8456,10/01/2020,APP WNL,ADOPTION,10/04/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1104557,DOG,P0937289,,FOSTER,1,GDG,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108958,CAT,P0600449,,OWNER SURRENDER,1,SDW,10/14/2020,APP WNL,ADOPTION,10/21/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108052,CAT,P0926284,,FOSTER,1,VMJ,11/10/2020,APP WNL,ADOPTION,11/10/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,NOV.2020,FY2021
A1110087,DOG,P9998455,6,STRAY,1,DOI8455,11/06/2020,APP WNL,ADOPTION,11/10/2020,APP WNL,SCAN NO CHIP,FIELD,NOV.2020,FY2021
A1108371,WILDLIFE,P0938892,,OWNER SURRENDER,1,JCZ,10/03/2020,APP WNL,ADOPTION,10/04/2020,APP WNL,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1106912,DOG,P0941543,3,STRAY,1,TJP8456,11/06/2020,APP WNL,RETURNED TO OWNER,11/06/2020,APP WNL,SCAN CHIP,FIELD,NOV.2020,FY2021
A1108257,DOG,P9998452,5,STRAY,1,SME8452,10/01/2020,APP WNL,RETURNED TO OWNER,10/01/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108965,CAT,P0939711,1,OWNER SURRENDER,1,VJD1770,10/14/2020,APP WNL,FOSTER,10/17/2020,UNDERAGE,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108793,DOG,P9991736,6,STRAY,1,TMB1736,10/11/2020,APP WNL,ADOPTION,10/15/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108275,WILDLIFE,P9991781,9,WILDLIFE,1,AOB1781,10/01/2020,CRITICAL,EUTHANIZED,10/01/2020,CRITICAL,WILDLIFE - UNABLE TO SCAN,FIELD,OCT.2020,FY2021
A1108267,CAT,P0938753,8,STRAY,1,IFM,10/01/2020,UNDERAGE,EUTHANIZED,10/01/2020,APP SICK,SCAN NO CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108324,DOG,P0506873,3,STRAY,1,BMO1764,10/02/2020,APP WNL,TRANSFER,10/04/2020,APP INJ,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108335,DOG,P0938819,6,KEEPSAFE,1,CVB1710,10/02/2020,APP WNL,TRANSFER,10/13/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108392,DOG,P9991718,8,STRAY,1,MWG1718,10/03/2020,APP WNL,RETURNED TO OWNER,10/03/2020,APP WNL,SCAN NO CHIP,AGGOPS,OCT.2020,FY2021
A1108277,CAT,P0938758,2,STRAY,1,ERB1768,10/01/2020,APP SICK,EUTHANIZED,10/01/2020,APP SICK,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1105330,CAT,P0881793,,FOSTER,1,CDM,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1104624,DOG,P0932788,,TREATMENT,1,CDM,10/01/2020,APP WNL,TREATMENT,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1105334,CAT,P0930596,,FOSTER,1,CDM,10/01/2020,APP WNL,ADOPTION,10/01/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,OCT.2020,FY2021
A1108357,DOG,P0938865,7,OWNER SURRENDER,1,RKB1765,10/02/2020,APP WNL,EUTHANIZED,10/13/2020,APP WNL,SCAN NO CHIP,FIELD,OCT.2020,FY2021
A1108508,DOG,P9991761,4,STRAY,1,DAA1761,10/06/2020,APP WNL,RETURNED TO OWNER,10/06/2020,APP WNL,UNABLE TO SCAN,FIELD,OCT.2020,FY2021
